,Neighborhood,Census.Tract,Homeowner.age.building.years,Pb.ppm,Pred.µg.dL.,P.PbB.3.5,P.PbB.5,P.PbB.6,P.PbB.10,Age.25m.years,Community.Area
1,Albany Park,140601,104,252,2.86,33.383,11.737,5.749,0.387,105,ALBANY PARK
2,Albany Park,140601,98,130,2.01,11.821,2.602,0.988,0.032,115,ALBANY PARK
3,Albany Park,140601,112,130,2.01,11.821,2.602,0.988,0.032,NA,ALBANY PARK
4,Albany Park,140601,69,98,1.78,7.455,1.385,0.481,0.012,64,ALBANY PARK
5,Albany Park,140601,120,615,5.22,80.214,53.602,38.304,8.313,115,ALBANY PARK
6,Albany Park,140602,NA,282,3.07,38.891,14.893,7.651,0.594,NA,ALBANY PARK
7,Albany Park,140602,115,51,1.43,2.887,0.395,0.117,0.002,57,ALBANY PARK
8,Albany Park,140602,109,259,2.91,34.68,12.449,6.169,0.43,110,ALBANY PARK
9,Albany Park,140602,108,42,1.37,2.286,0.292,0.083,0.001,104,ALBANY PARK
10,Albany Park,140602,94,287,3.1,39.793,15.444,7.994,0.634,NA,ALBANY PARK
11,Albany Park,140200,108,121,1.94,10.504,2.21,0.819,0.024,NA,ALBANY PARK
12,Albany Park,140200,109,181,2.37,20.277,5.584,2.393,0.109,104,ALBANY PARK
13,Albany Park,140200,66,171,2.3,18.514,4.898,2.054,0.088,59,ALBANY PARK
14,Albany Park,140200,81,64,1.53,3.912,0.587,0.182,0.003,102,ALBANY PARK
15,Albany Park,140200,NA,79,1.64,5.324,0.882,0.288,0.006,NA,ALBANY PARK
16,Albany Park,140302,45,120,1.93,10.361,2.169,0.802,0.024,40,ALBANY PARK
17,Albany Park,140302,63,97,1.77,7.333,1.354,0.469,0.011,58,ALBANY PARK
18,Albany Park,140302,NA,264,2.94,35.603,12.967,6.478,0.462,NA,ALBANY PARK
19,Albany Park,140302,104,177,2.34,19.567,5.304,2.254,0.1,NA,ALBANY PARK
20,Albany Park,140302,112,59,1.49,3.496,0.507,0.154,0.003,97,ALBANY PARK
21,Albany Park,140400,60,134,2.03,12.427,2.789,1.07,0.035,55,ALBANY PARK
22,Albany Park,140400,100,82,1.66,5.635,0.951,0.314,0.007,95,ALBANY PARK
23,Albany Park,140400,100,110,1.86,8.985,1.784,0.642,0.017,90,ALBANY PARK
24,Albany Park,140400,68,108,1.85,8.721,1.713,0.612,0.016,63,ALBANY PARK
25,Albany Park,140400,97,196,2.47,22.984,6.703,2.964,0.147,92,ALBANY PARK
26,Albany Park,140800,110,456,4.22,65.407,35.848,22.649,3.308,105,ALBANY PARK
27,Albany Park,140800,104,380,3.72,55.191,26.488,15.474,1.773,104,ALBANY PARK
28,Albany Park,140800,100,249,2.84,32.825,11.437,5.574,0.37,95,ALBANY PARK
29,Albany Park,140800,NA,100,1.79,7.7,1.447,0.505,0.013,NA,ALBANY PARK
30,Albany Park,140800,107,115,1.9,9.662,1.97,0.719,0.02,102,ALBANY PARK
31,Albany Park,140701,89,112,1.88,9.253,1.857,0.672,0.019,NA,ALBANY PARK
32,Albany Park,140701,NA,564,4.9,76.314,48.308,33.347,6.461,NA,ALBANY PARK
33,Albany Park,140701,107,15,1.17,0.982,0.099,0.025,0,110,ALBANY PARK
34,Albany Park,140701,NA,138,2.06,13.044,2.984,1.157,0.039,NA,ALBANY PARK
35,Albany Park,140701,111,80,1.65,5.426,0.905,0.296,0.006,1,ALBANY PARK
36,Albany Park,140500,100,247,2.83,32.453,11.238,5.459,0.359,95,ALBANY PARK
37,Albany Park,140500,67,320,3.32,45.581,19.219,10.424,0.952,110,ALBANY PARK
38,Albany Park,140500,NA,180,2.36,20.099,5.513,2.358,0.106,110,ALBANY PARK
39,Albany Park,140500,NA,213,2.59,26.115,8.096,3.7,0.203,NA,ALBANY PARK
40,Albany Park,140500,96,252,2.86,33.383,11.737,5.749,0.387,112,ALBANY PARK
41,Albany Park,140702,NA,149,2.14,14.797,3.561,1.419,0.052,99,ALBANY PARK
42,Albany Park,140702,NA,72,1.59,4.634,0.734,0.234,0.005,105,ALBANY PARK
43,Albany Park,140702,113,47,1.41,2.609,0.346,0.101,0.001,108,ALBANY PARK
44,Albany Park,140702,95,191,2.44,22.074,6.319,2.765,0.134,94,ALBANY PARK
45,Albany Park,140702,101,202,2.51,24.083,7.18,3.213,0.166,105,ALBANY PARK
46,Albany Park,140100,107,113,1.88,9.389,1.894,0.687,0.019,102,ALBANY PARK
47,Albany Park,140100,104,100,1.79,7.7,1.447,0.505,0.013,NA,ALBANY PARK
48,Albany Park,140100,105,71,1.58,4.54,0.714,0.227,0.004,100,ALBANY PARK
49,Albany Park,140100,NA,88,1.7,6.287,1.101,0.37,0.008,97,ALBANY PARK
50,Albany Park,140100,102,673,5.57,83.862,59.092,43.723,10.659,97,ALBANY PARK
51,Albany Park,140301,97,21,1.21,1.21,0.129,0.034,0,94,ALBANY PARK
52,Albany Park,140301,110,296,3.16,41.401,16.45,8.628,0.713,97,ALBANY PARK
53,Albany Park,140301,97,363,3.61,52.602,24.396,13.973,1.506,92,ALBANY PARK
54,Albany Park,140301,103,308,3.24,43.512,17.821,9.507,0.827,100,ALBANY PARK
55,Bridgeport,600600,22,73,1.6,4.73,0.754,0.241,0.005,NA,BRIDGEPORT
56,Bridgeport,600600,33,39,1.35,2.105,0.262,0.074,0.001,10,BRIDGEPORT
57,Bridgeport,600600,139,243,2.8,31.708,10.846,5.233,0.337,130,BRIDGEPORT
58,Bridgeport,600600,132,117,1.91,9.939,2.048,0.751,0.022,130,BRIDGEPORT
59,Bridgeport,600600,46,442,4.13,63.692,34.14,21.286,2.982,40,BRIDGEPORT
60,Bridgeport,840200,21,47,1.41,2.609,0.346,0.101,0.001,11,BRIDGEPORT
61,Bridgeport,840200,135,143,2.1,13.831,3.239,1.272,0.045,25,BRIDGEPORT
62,Bridgeport,840200,138,105,1.83,8.331,1.61,0.57,0.015,10,BRIDGEPORT
63,Bridgeport,840200,NA,151,2.16,15.124,3.673,1.471,0.055,20,BRIDGEPORT
64,Bridgeport,840200,45,432,4.06,62.421,32.913,20.321,2.761,28,BRIDGEPORT
65,Bridgeport,840100,136,382,3.73,55.489,26.735,15.654,1.806,130,BRIDGEPORT
66,Bridgeport,840100,142,455,4.21,65.287,35.726,22.551,3.284,130,BRIDGEPORT
67,Bridgeport,840100,136,623,5.27,80.764,54.394,39.067,8.622,130,BRIDGEPORT
68,Bridgeport,840100,78,345,3.49,49.742,22.203,12.44,1.254,146,BRIDGEPORT
69,Bridgeport,600700,NA,172,2.3,18.688,4.964,2.086,0.089,NA,BRIDGEPORT
70,Bridgeport,600700,4,145,2.11,14.151,3.344,1.32,0.047,28,BRIDGEPORT
71,Bridgeport,600700,NA,84,1.68,5.848,0.999,0.332,0.007,130,BRIDGEPORT
72,Bridgeport,600700,133,216,2.61,26.672,8.354,3.84,0.214,127,BRIDGEPORT
73,Bridgeport,600700,132,272,3,37.072,13.812,6.987,0.518,135,BRIDGEPORT
74,Bridgeport,600400,135,215,2.6,26.487,8.268,3.793,0.21,NA,BRIDGEPORT
75,Bridgeport,600400,135,122,1.95,10.647,2.251,0.837,0.025,1,BRIDGEPORT
76,Bridgeport,600400,142,34,1.31,1.824,0.218,0.06,0.001,33,BRIDGEPORT
77,Bridgeport,600400,135,186,2.4,21.171,5.946,2.575,0.121,19,BRIDGEPORT
78,Bridgeport,600400,133,235,2.74,30.215,10.078,4.795,0.296,127,BRIDGEPORT
79,Bridgeport,839700,133,41,1.36,2.224,0.282,0.08,0.001,128,BRIDGEPORT
80,Bridgeport,839700,NA,169,2.28,18.166,4.766,1.99,0.084,NA,BRIDGEPORT
81,Bridgeport,839700,NA,81,1.65,5.53,0.928,0.305,0.006,11,BRIDGEPORT
82,Bridgeport,839700,134,74,1.6,4.826,0.774,0.249,0.005,NA,BRIDGEPORT
83,Bridgeport,839700,135,321,3.33,45.752,19.336,10.501,0.963,130,BRIDGEPORT
84,Bridgeport,839900,45,840,6.56,90.916,71.794,57.488,18.458,NA,BRIDGEPORT
85,Bridgeport,839900,53,80,1.65,5.426,0.905,0.296,0.006,48,BRIDGEPORT
86,Bridgeport,839900,68,178,2.35,19.744,5.373,2.288,0.102,63,BRIDGEPORT
87,Bridgeport,839900,117,811,6.39,89.979,69.899,55.314,17.023,NA,BRIDGEPORT
88,Bridgeport,600900,29,72,1.59,4.634,0.734,0.234,0.005,24,BRIDGEPORT
89,Bridgeport,600900,25,435,4.08,62.807,33.282,20.609,2.827,20,BRIDGEPORT
90,Bridgeport,600900,24,130,2.01,11.821,2.602,0.988,0.032,19,BRIDGEPORT
91,Bridgeport,600900,29,105,1.83,8.331,1.61,0.57,0.015,130,BRIDGEPORT
92,Bridgeport,839800,28,443,4.13,63.817,34.263,21.383,3.005,NA,BRIDGEPORT
93,Bridgeport,839800,24,170,2.29,18.34,4.832,2.022,0.086,19,BRIDGEPORT
94,Bridgeport,839800,131,470,4.31,67.049,37.539,24.024,3.654,NA,BRIDGEPORT
95,Bridgeport,839800,135,141,2.08,13.514,3.135,1.225,0.042,130,BRIDGEPORT
96,Bridgeport,839800,135,439,4.11,63.315,33.773,20.995,2.915,130,BRIDGEPORT
97,Bridgeport,840000,NA,33,1.3,1.77,0.21,0.058,0.001,NA,BRIDGEPORT
98,Bridgeport,840000,NA,69,1.57,4.355,0.676,0.213,0.004,NA,BRIDGEPORT
99,Bridgeport,840000,NA,100,1.79,7.7,1.447,0.505,0.013,NA,BRIDGEPORT
100,Bridgeport,840000,97,532,4.7,73.485,44.776,30.18,5.413,92,BRIDGEPORT
101,Bridgeport,840000,9,129,2,11.671,2.556,0.968,0.031,NA,BRIDGEPORT
102,Lakeview,63303,37,29,1.27,1.568,0.18,0.048,0.001,NA,LAKE VIEW
103,Lakeview,63303,NA,220,2.64,27.417,8.705,4.031,0.23,NA,LAKE VIEW
104,Lakeview,61901,53,86,1.69,6.065,1.049,0.351,0.008,NA,LAKE VIEW
105,Wrigleyville,832100,27,90,1.72,6.512,1.154,0.391,0.009,NA,LAKE VIEW
106,Lakeview,832100,NA,53,1.45,3.033,0.421,0.125,0.002,118,LAKE VIEW
107,Lakeview,832100,113,238,2.76,30.775,10.363,4.957,0.311,118,LAKE VIEW
108,Lakeview,63303,37,48,1.41,2.677,0.358,0.104,0.002,NA,LAKE VIEW
109,Lakeview,63303,37,25,1.24,1.382,0.153,0.041,0,NA,LAKE VIEW
110,Lakeview,832100,NA,45,1.39,2.477,0.324,0.093,0.001,NA,LAKE VIEW
111,Lakeview,63302,NA,694,5.7,85.004,60.938,45.613,11.564,NA,LAKE VIEW
112,Lakeview,63302,128,432,4.06,62.421,32.913,20.321,2.761,125,LAKE VIEW
113,Lakeview,63302,64,31,1.29,1.667,0.195,0.053,0.001,126,LAKE VIEW
114,Lakeview,61901,53,139,2.07,13.2,3.034,1.179,0.04,NA,LAKE VIEW
115,Lakeview,832100,NA,208,2.56,25.189,7.673,3.474,0.185,NA,LAKE VIEW
116,Lakeview,60800,NA,202,2.51,24.083,7.18,3.213,0.166,NA,LAKE VIEW
117,Lakeview,60800,66,193,2.45,22.437,6.471,2.844,0.139,NA,LAKE VIEW
118,Lakeview,60800,68,241,2.78,31.335,10.652,5.122,0.326,NA,LAKE VIEW
119,Lakeview,832000,128,247,2.83,32.453,11.238,5.459,0.359,1,LAKE VIEW
120,Lakeview,832000,22,169,2.28,18.166,4.766,1.99,0.084,16,LAKE VIEW
121,Lakeview,832000,20,23,1.23,1.294,0.141,0.037,0,14,LAKE VIEW
122,Lakeview,832000,NA,731,5.92,86.814,64.011,48.837,13.221,14,LAKE VIEW
123,Wrigleyville,61100,36,29,1.27,1.568,0.18,0.048,0.001,31,LAKE VIEW
124,Wrigleyville,61100,126,224,2.67,28.162,9.063,4.228,0.246,NA,LAKE VIEW
125,Wrigleyville,61100,133,155,2.18,15.785,3.902,1.577,0.06,124,LAKE VIEW
126,Wrigleyville,61100,NA,14,1.16,0.947,0.095,0.024,0,NA,LAKE VIEW
127,Lakeview,61800,110,300,3.19,42.109,16.904,8.917,0.749,NA,LAKE VIEW
128,Lakeview,61800,77,165,2.25,17.476,4.509,1.866,0.076,72,LAKE VIEW
129,Northalsted,61800,100,172,2.3,18.688,4.964,2.086,0.089,10,LAKE VIEW
130,Southport Corridor,831900,NA,33,1.3,1.77,0.21,0.058,0.001,117,LAKE VIEW
131,Lakeview,831900,125,443,4.13,63.817,34.263,21.383,3.005,92,LAKE VIEW
132,Southport Corridor,831900,11,222,2.65,27.789,8.883,4.129,0.238,7,LAKE VIEW
133,Southport Corridor,831900,104,189,2.42,21.712,6.168,2.688,0.128,96,LAKE VIEW
134,Southport Corridor,61500,94,718,5.84,86.206,62.957,47.72,12.63,117,LAKE VIEW
135,Lakeview,61500,114,465,4.27,66.471,36.937,23.532,3.528,110,LAKE VIEW
136,Lakeview,61500,19,135,2.04,12.58,2.837,1.092,0.036,108,LAKE VIEW
137,Lakeview,61500,116,413,3.94,59.901,30.57,18.513,2.369,110,LAKE VIEW
138,Lakeview,61500,97,318,3.31,45.239,18.984,10.268,0.93,91,LAKE VIEW
139,Graceland West,60100,NA,158,2.21,16.287,4.079,1.661,0.065,NA,LAKE VIEW
140,Graceland West,60100,113,513,4.58,71.652,42.609,28.29,4.835,108,LAKE VIEW
141,Graceland West,60100,NA,37,1.33,1.989,0.244,0.068,0.001,NA,LAKE VIEW
142,Graceland West,60100,129,275,3.02,37.62,14.133,7.183,0.54,NA,LAKE VIEW
143,Graceland West,60100,104,439,4.11,63.315,33.773,20.995,2.915,110,LAKE VIEW
144,Ravenswood,60200,59,384,3.75,55.785,26.982,15.835,1.839,55,LAKE VIEW
145,Ravenswood,60200,51,302,3.2,42.462,17.132,9.063,0.768,48,LAKE VIEW
146,Ravenswood,60200,11,100,1.79,7.7,1.447,0.505,0.013,NA,LAKE VIEW
147,Ravenswood,60200,NA,437,4.09,63.062,33.528,20.802,2.871,121,LAKE VIEW
148,Ravenswood,60200,123,293,3.14,40.867,16.113,8.414,0.686,NA,LAKE VIEW
149,Lakeview,61902,57,34,1.31,1.824,0.218,0.06,0.001,NA,LAKE VIEW
150,Lakeview,61902,93,171,2.3,18.514,4.898,2.054,0.088,NA,LAKE VIEW
151,Lakeview,61902,56,362,3.6,52.446,24.273,13.886,1.492,98,LAKE VIEW
152,Lakeview,61902,21,30,1.28,1.617,0.187,0.051,0.001,15,LAKE VIEW
153,Lakeview,61902,97,133,2.03,12.274,2.741,1.049,0.034,90,LAKE VIEW
154,Lakeview,60300,130,283,3.07,39.072,15.003,7.719,0.602,128,LAKE VIEW
155,Lakeview,60300,129,396,3.83,57.528,28.466,16.929,2.049,126,LAKE VIEW
156,Lakeview,60300,24,103,1.81,8.076,1.543,0.544,0.014,21,LAKE VIEW
157,Lakeview,60300,NA,111,1.87,9.119,1.82,0.656,0.018,NA,LAKE VIEW
158,Lakeview,62400,138,547,4.79,74.85,46.45,31.668,5.892,130,LAKE VIEW
159,Southport Corridor,62400,133,383,3.74,55.637,26.858,15.744,1.822,NA,LAKE VIEW
160,Lakeview,62400,133,18,1.19,1.092,0.114,0.029,0,130,LAKE VIEW
161,Lakeview,62400,76,19,1.2,1.131,0.119,0.031,0,NA,LAKE VIEW
162,Lakeview,63400,50,285,3.09,39.433,15.223,7.856,0.618,NA,LAKE VIEW
163,Lakeview,63400,25,275,3.02,37.62,14.133,7.183,0.54,19,LAKE VIEW
164,Lakeview,63400,120,114,1.89,9.525,1.932,0.703,0.02,109,LAKE VIEW
165,Lakeview,63400,105,2086,12.75,99.702,97.678,94.559,69.73,NA,LAKE VIEW
166,Lakeview,62800,141,354,3.55,51.187,23.296,13.199,1.377,133,LAKE VIEW
167,Lakeview,62800,101,806,6.36,89.808,69.56,54.929,16.778,118,LAKE VIEW
168,Lakeview,62800,13,447,4.16,64.313,34.752,21.771,3.096,130,LAKE VIEW
169,Lakeview,62800,36,496,4.47,69.91,40.63,26.599,4.346,NA,LAKE VIEW
170,Lakeview,62800,110,254,2.87,33.754,11.939,5.868,0.399,104,LAKE VIEW
171,Lakeview,62900,136,235,2.74,30.215,10.078,4.795,0.296,132,LAKE VIEW
172,Lakeview,62900,140,560,4.88,75.978,47.875,32.953,6.325,135,LAKE VIEW
173,Lakeview,62900,NA,159,2.21,16.455,4.139,1.689,0.066,114,LAKE VIEW
174,Lakeview,62900,100,426,4.02,61.641,32.175,19.746,2.634,113,LAKE VIEW
175,Lakeview,63000,124,167,2.27,17.82,4.637,1.927,0.08,147,LAKE VIEW
176,Lakeview,63000,NA,112,1.88,9.253,1.857,0.672,0.019,NA,LAKE VIEW
177,Lakeview,63000,28,174,2.32,19.038,5.099,2.152,0.094,122,LAKE VIEW
178,Lakeview,63301,NA,670,5.55,83.691,58.822,43.45,10.532,NA,LAKE VIEW
179,Lakeview,63301,NA,24,1.24,1.337,0.147,0.039,0,NA,LAKE VIEW
180,Lakeview,63301,102,316,3.3,44.896,18.75,10.114,0.909,NA,LAKE VIEW
181,Lakeview,63303,NA,165,2.25,17.476,4.509,1.866,0.076,NA,LAKE VIEW
182,Lakeview,63100,28,357,3.57,51.662,23.662,13.455,1.419,117,LAKE VIEW
183,Lakeview,63100,119,257,2.89,34.31,12.244,6.047,0.417,116,LAKE VIEW
184,Lakeview,63100,73,506,4.54,70.947,41.798,27.593,4.63,NA,LAKE VIEW
185,Lakeview,63100,116,62,1.52,3.742,0.554,0.17,0.003,NA,LAKE VIEW
186,Lakeview,63200,56,195,2.47,22.801,6.625,2.923,0.145,51,LAKE VIEW
187,Lakeview,63200,54,35,1.32,1.878,0.227,0.063,0.001,NA,LAKE VIEW
188,Lakeview,63200,119,217,2.62,26.858,8.441,3.887,0.218,115,LAKE VIEW
189,Lakeview,63200,112,329,3.38,47.103,20.283,11.133,1.055,NA,LAKE VIEW
190,Lakeview,63200,109,334,3.42,47.937,20.88,11.536,1.115,10,LAKE VIEW
191,Lakeview,60300,22,307,3.23,43.338,17.705,9.433,0.817,10,LAKE VIEW
192,Lakeview,62200,28,319,3.32,45.411,19.101,10.346,0.941,22,LAKE VIEW
193,Lakeview,62200,26,398,3.84,57.813,28.714,17.114,2.085,21,LAKE VIEW
194,Lakeview,62200,27,209,2.56,25.374,7.757,3.518,0.189,23,LAKE VIEW
195,Lakeview,62200,138,230,2.71,29.282,9.611,4.533,0.273,132,LAKE VIEW
196,Lakeview,62600,23,93,1.74,6.858,1.237,0.423,0.01,19,LAKE VIEW
197,Lakeview,62600,20,83,1.67,5.741,0.975,0.323,0.007,15,LAKE VIEW
198,Lakeview,62600,115,61,1.51,3.659,0.538,0.165,0.003,7,LAKE VIEW
199,Lakeview,62600,27,46,1.4,2.542,0.335,0.097,0.001,22,LAKE VIEW
200,Lakeview,62600,15,283,3.07,39.072,15.003,7.719,0.602,10,LAKE VIEW
201,Lakeview,62700,130,658,5.48,82.991,57.727,42.348,10.03,125,LAKE VIEW
202,Lakeview,62700,21,217,2.62,26.858,8.441,3.887,0.218,15,LAKE VIEW
203,Lakeview,62700,133,29,1.27,1.568,0.18,0.048,0.001,120,LAKE VIEW
204,Lakeview,62700,7,80,1.65,5.426,0.905,0.296,0.006,1,LAKE VIEW
205,Lakeview,62700,134,418,3.97,60.578,31.188,18.985,2.469,143,LAKE VIEW
206,Wrigleyville,61200,NA,1062,7.8,95.592,82.8,71.171,29.859,10,LAKE VIEW
207,Southport Corridor,61200,126,224,2.67,28.162,9.063,4.228,0.246,110,LAKE VIEW
208,Southport Corridor,61200,117,205,2.54,24.635,7.424,3.342,0.175,NA,LAKE VIEW
209,Wrigleyville,61200,111,233,2.73,29.842,9.89,4.689,0.287,106,LAKE VIEW
210,Wrigleyville,61200,21,130,2.01,11.821,2.602,0.988,0.032,15,LAKE VIEW
211,Southport Corridor,60400,NA,131,2.01,11.971,2.648,1.008,0.032,20,LAKE VIEW
212,Lakeview,60400,104,71,1.58,4.54,0.714,0.227,0.004,13,LAKE VIEW
213,Southport Corridor,60400,16,54,1.46,3.107,0.434,0.13,0.002,16,LAKE VIEW
214,Southport Corridor,60400,135,753,6.05,87.779,65.731,50.687,14.239,130,LAKE VIEW
215,Southport Corridor,60400,NA,1472,9.92,98.669,92.759,85.772,49.333,NA,LAKE VIEW
216,Wrigleyville,60500,NA,213,2.59,26.115,8.096,3.7,0.203,NA,LAKE VIEW
217,Southport Corridor,60500,100,833,6.52,90.699,71.348,56.972,18.11,125,LAKE VIEW
218,Southport Corridor,60500,24,215,2.6,26.487,8.268,3.793,0.21,130,LAKE VIEW
219,Wrigleyville,60500,NA,166,2.26,17.648,4.573,1.896,0.078,NA,LAKE VIEW
220,Lakeview,60900,NA,100,1.79,7.7,1.447,0.505,0.013,NA,LAKE VIEW
221,Northalsted,60900,92,78,1.63,5.222,0.86,0.28,0.006,NA,LAKE VIEW
222,Lakeview,60900,95,177,2.34,19.567,5.304,2.254,0.1,NA,LAKE VIEW
223,Lakeview,61000,138,133,2.03,12.274,2.741,1.049,0.034,120,LAKE VIEW
224,Lakeview,61000,49,124,1.96,10.936,2.336,0.873,0.027,NA,LAKE VIEW
225,Lakeview,61000,122,206,2.54,24.82,7.507,3.385,0.179,102,LAKE VIEW
226,Northalsted,62000,120,226,2.68,28.535,9.244,4.328,0.255,117,LAKE VIEW
227,Northalsted,62000,132,66,1.54,4.086,0.622,0.194,0.004,NA,LAKE VIEW
228,Northalsted,62000,NA,71,1.58,4.54,0.714,0.227,0.004,13,LAKE VIEW
229,Lakeview,61000,37,150,2.15,14.961,3.617,1.445,0.053,31,LAKE VIEW
230,Northalsted,62000,100,374,3.68,54.29,25.748,14.939,1.676,104,LAKE VIEW
231,Northalsted,62000,114,626,5.28,80.966,54.687,39.352,8.739,110,LAKE VIEW
232,Lakeview,62100,38,108,1.85,8.721,1.713,0.612,0.016,33,LAKE VIEW
233,Lakeview,62100,NA,26,1.25,1.427,0.16,0.042,0,NA,LAKE VIEW
234,Lakeview,62100,130,1032,7.64,95.154,81.624,69.61,28.31,115,LAKE VIEW
235,Lakeview,62100,NA,300,3.19,42.109,16.904,8.917,0.749,NA,LAKE VIEW
236,Lakeview,62100,NA,189,2.42,21.712,6.168,2.688,0.128,123,LAKE VIEW
237,Southport Corridor,62300,136,242,2.79,31.521,10.749,5.177,0.332,130,LAKE VIEW
238,Lakeview,62300,148,341,3.46,49.091,21.72,12.108,1.202,140,LAKE VIEW
239,Lakeview,62300,130,2368,13.93,99.835,98.538,96.346,75.974,124,LAKE VIEW
240,Lakeview,62300,19,45,1.39,2.477,0.324,0.093,0.001,14,LAKE VIEW
241,Lakeview,62300,140,424,4.01,61.377,31.928,19.555,2.592,132,LAKE VIEW
242,Roscoe Village,62500,133,235,2.74,30.215,10.078,4.795,0.296,127,LAKE VIEW
243,Roscoe Village,62500,29,69,1.57,4.355,0.676,0.213,0.004,135,LAKE VIEW
244,Lakeview,62500,21,33,1.3,1.77,0.21,0.058,0.001,NA,LAKE VIEW
245,Lakeview,62900,134,187,2.41,21.351,6.019,2.612,0.123,132,LAKE VIEW
246,Lakeview,63000,NA,591,5.07,78.467,51.164,35.99,7.415,NA,LAKE VIEW
247,Garfield Ridge,5601,NA,53,1.45,3.033,0.421,0.125,0.002,103,GARFIELD RIDGE
248,Garfield Ridge,5601,67,236,2.75,30.402,10.173,4.849,0.301,60,GARFIELD RIDGE
249,Garfield Ridge,5601,65,74,1.6,4.826,0.774,0.249,0.005,61,GARFIELD RIDGE
250,Garfield Ridge,5601,NA,95,1.75,7.094,1.295,0.445,0.011,NA,GARFIELD RIDGE
251,Garfield Ridge,5601,NA,268,2.97,36.339,13.387,6.73,0.49,NA,GARFIELD RIDGE
252,Garfield Ridge,5608,81,58,1.49,3.416,0.491,0.149,0.002,75,GARFIELD RIDGE
253,Garfield Ridge,5608,69,306,3.23,43.163,17.59,9.358,0.807,63,GARFIELD RIDGE
254,Garfield Ridge,5608,67,223,2.66,27.976,8.973,4.178,0.242,NA,GARFIELD RIDGE
255,Garfield Ridge,5608,70,102,1.81,7.95,1.51,0.531,0.014,64,GARFIELD RIDGE
256,Garfield Ridge,5608,64,88,1.7,6.287,1.101,0.37,0.008,58,GARFIELD RIDGE
257,Garfield Ridge,5607,102,42,1.37,2.286,0.292,0.083,0.001,93,GARFIELD RIDGE
258,Garfield Ridge,5607,71,154,2.18,15.619,3.844,1.55,0.059,102,GARFIELD RIDGE
259,Garfield Ridge,5607,58,55,1.46,3.183,0.448,0.134,0.002,49,GARFIELD RIDGE
260,Garfield Ridge,5607,73,41,1.36,2.224,0.282,0.08,0.001,70,GARFIELD RIDGE
261,Garfield Ridge,5607,52,203,2.52,24.267,7.261,3.255,0.169,NA,GARFIELD RIDGE
262,Garfield Ridge,5611,68,144,2.11,13.991,3.291,1.296,0.046,64,GARFIELD RIDGE
263,Garfield Ridge,5611,100,233,2.73,29.842,9.89,4.689,0.287,94,GARFIELD RIDGE
264,Garfield Ridge,5611,69,127,1.98,11.375,2.467,0.93,0.029,63,GARFIELD RIDGE
265,Garfield Ridge,5611,72,117,1.91,9.939,2.048,0.751,0.022,64,GARFIELD RIDGE
266,Garfield Ridge,5611,74,524,4.65,72.728,43.869,29.384,5.165,65,GARFIELD RIDGE
267,Garfield Ridge,5603,NA,783,6.23,88.976,67.952,53.126,15.663,NA,GARFIELD RIDGE
268,Garfield Ridge,5603,69,112,1.88,9.253,1.857,0.672,0.019,62,GARFIELD RIDGE
269,Garfield Ridge,5603,71,133,2.03,12.274,2.741,1.049,0.034,NA,GARFIELD RIDGE
270,Garfield Ridge,5603,67,112,1.88,9.253,1.857,0.672,0.019,63,GARFIELD RIDGE
271,Garfield Ridge,5603,68,165,2.25,17.476,4.509,1.866,0.076,64,GARFIELD RIDGE
272,Garfield Ridge,5610,78,17,1.18,1.054,0.109,0.028,0,72,GARFIELD RIDGE
273,Garfield Ridge,5610,68,207,2.55,25.004,7.59,3.429,0.182,62,GARFIELD RIDGE
274,Garfield Ridge,5610,70,27,1.26,1.473,0.166,0.044,0.001,66,GARFIELD RIDGE
275,Garfield Ridge,5609,68,131,2.01,11.971,2.648,1.008,0.032,62,GARFIELD RIDGE
276,Garfield Ridge,5609,60,132,2.02,12.122,2.694,1.029,0.033,56,GARFIELD RIDGE
277,Garfield Ridge,5609,72,55,1.46,3.183,0.448,0.134,0.002,68,GARFIELD RIDGE
278,Garfield Ridge,5609,77,98,1.78,7.455,1.385,0.481,0.012,71,GARFIELD RIDGE
279,Garfield Ridge,5609,65,183,2.38,20.633,5.727,2.465,0.113,91,GARFIELD RIDGE
280,Garfield Ridge,5602,61,104,1.82,8.203,1.576,0.557,0.014,55,GARFIELD RIDGE
281,Garfield Ridge,5602,67,216,2.61,26.672,8.354,3.84,0.214,62,GARFIELD RIDGE
282,Garfield Ridge,5602,72,47,1.41,2.609,0.346,0.101,0.001,63,GARFIELD RIDGE
283,Garfield Ridge,5602,71,76,1.62,5.022,0.816,0.264,0.005,62,GARFIELD RIDGE
284,Garfield Ridge,5602,61,24,1.24,1.337,0.147,0.039,0,57,GARFIELD RIDGE
285,Garfield Ridge,5604,67,135,2.04,12.58,2.837,1.092,0.036,61,GARFIELD RIDGE
286,Garfield Ridge,5604,67,71,1.58,4.54,0.714,0.227,0.004,61,GARFIELD RIDGE
287,Garfield Ridge,5604,68,71,1.58,4.54,0.714,0.227,0.004,62,GARFIELD RIDGE
288,Garfield Ridge,5604,66,146,2.12,14.311,3.398,1.344,0.048,61,GARFIELD RIDGE
289,Garfield Ridge,5604,70,313,3.28,44.38,18.4,9.885,0.877,64,GARFIELD RIDGE
290,West Elsdon,6202,68,147,2.13,14.473,3.452,1.369,0.05,62,WEST ELSDON
