,Neighborhood,Census.Tract,Homeowner.age.building.years,Pb.ppm,Pred.µg.dL.,P.PbB.3.5,P.PbB.5,P.PbB.6,P.PbB.10,Age.25m.years,Community.Area
1505,,460500,NA,499,4.49,70.224,40.982,26.897,4.43,96,SOUTH CHICAGO
1506,,460400,NA,226.5,2.68,28.628,9.289,4.353,0.257,101,SOUTH CHICAGO
1507,,460301,NA,387,3.77,56.226,27.353,16.106,1.89,94,SOUTH CHICAGO
1508,,460301,NA,780.5,6.21,88.881,67.772,52.926,15.543,NA,SOUTH CHICAGO
1509,,460500,NA,216,2.61,26.672,8.354,3.84,0.214,72,SOUTH CHICAGO
1510,,431200,NA,126,1.98,11.228,2.423,0.911,0.028,90,SOUTH SHORE
1511,,431200,NA,183.5,2.39,20.723,5.763,2.483,0.115,NA,SOUTH SHORE
1512,,430600,NA,200,2.5,23.716,7.019,3.128,0.159,NA,SOUTH SHORE
1513,,843900,NA,277.5,3.03,38.075,14.403,7.349,0.559,NA,SOUTH SHORE
1514,,430200,NA,305,3.22,42.988,17.475,9.284,0.797,NA,SOUTH SHORE
1515,,430500,NA,217,2.62,26.858,8.441,3.887,0.218,NA,SOUTH SHORE
1516,,430900,NA,312,3.27,44.207,18.284,9.809,0.867,98,SOUTH SHORE
1517,,834200,NA,272,3,37.072,13.812,6.987,0.518,95,SOUTH SHORE
1518,,834200,NA,175,2.33,19.214,5.167,2.186,0.096,NA,SOUTH SHORE
1519,,834200,NA,498.5,4.49,70.172,40.923,26.847,4.416,NA,SOUTH SHORE
1520,,430500,NA,197,2.48,23.166,6.782,3.004,0.15,NA,SOUTH SHORE
1521,,430200,NA,181.5,2.37,20.366,5.62,2.411,0.11,NA,SOUTH SHORE
1522,,430300,NA,458,4.23,65.646,36.09,22.845,3.356,100,SOUTH SHORE
1523,,430400,NA,95,1.75,7.094,1.295,0.445,0.011,20,SOUTH SHORE
1524,,430400,NA,351,3.53,50.708,22.931,12.944,1.335,130,SOUTH SHORE
1525,,841800,NA,411,3.92,59.628,30.322,18.325,2.33,NA,GREATER GRAND CROSSING
1526,,841800,NA,87,1.7,6.175,1.075,0.36,0.008,NA,GREATER GRAND CROSSING
1527,,421200,NA,125.5,1.97,11.154,2.401,0.901,0.028,NA,WOODLAWN
1528,,421200,NA,242,2.79,31.521,10.749,5.177,0.332,72,WOODLAWN
1529,,420700,NA,437.5,4.1,63.125,33.589,20.85,2.882,110,WOODLAWN
1530,,420800,NA,69.5,1.57,4.401,0.685,0.217,0.004,NA,WOODLAWN
1531,,834400,NA,309.5,3.25,43.773,17.994,9.62,0.842,125,WOODLAWN
1532,,843900,NA,557.5,4.86,75.765,47.603,32.706,6.24,112,WOODLAWN
1533,,420500,NA,522.5,4.64,72.583,43.699,29.235,5.119,NA,WOODLAWN
1534,,420300,NA,325,3.36,46.43,19.808,10.816,1.008,NA,WOODLAWN
1535,,420200,NA,449.5,4.17,64.62,35.057,22.014,3.154,NA,WOODLAWN
1536,,411100,NA,448.5,4.17,64.498,34.935,21.917,3.131,NA,HYDE PARK
1537,,410800,NA,526.5,4.67,72.967,44.154,29.633,5.242,NA,HYDE PARK
1538,,831400,NA,164.5,2.25,17.39,4.478,1.851,0.076,95,AUSTIN
1539,,813400,NA,179,2.35,19.921,5.443,2.323,0.104,NA,NA
1540,,813500,NA,232.5,2.73,29.748,9.843,4.663,0.284,NA,NA
1541,,813500,NA,63.5,1.53,3.869,0.579,0.179,0.003,NA,NA
1542,,814000,NA,405.5,3.89,58.868,29.642,17.81,2.224,NA,NA
1543,,814000,NA,516.5,4.6,71.999,43.012,28.638,4.938,NA,NA
1544,,813900,NA,133.5,2.03,12.35,2.765,1.06,0.035,NA,NA
1545,,813600,NA,276,3.02,37.802,14.241,7.249,0.547,NA,NA
1546,,813400,NA,70.5,1.58,4.494,0.705,0.224,0.004,NA,NA
1547,,813400,NA,88.5,1.71,6.343,1.114,0.375,0.008,NA,NA
1548,,813301,NA,170.5,2.29,18.427,4.865,2.038,0.087,NA,NA
1549,,813701,NA,114.5,1.9,9.594,1.951,0.711,0.02,NA,NA
1550,,813701,NA,375.5,3.69,54.516,25.933,15.072,1.699,NA,NA
1551,,813802,NA,238.5,2.77,30.868,10.411,4.984,0.314,NA,NA
1552,,813801,NA,312,3.27,44.207,18.284,9.809,0.867,101,NA
1553,,813702,NA,104.5,1.82,8.267,1.593,0.564,0.015,97,NA
1554,,813302,NA,298,3.17,41.756,16.677,8.772,0.731,NA,NA
1555,,813302,NA,371,3.66,53.834,25.378,14.673,1.628,NA,NA
1556,,831400,NA,63.5,1.53,3.869,0.579,0.179,0.003,NA,AUSTIN
1557,,831400,NA,420.5,3.99,60.913,31.496,19.222,2.52,NA,AUSTIN
1558,,814400,NA,243.5,2.8,31.801,10.895,5.261,0.34,59,NA
1559,,814400,NA,204,2.53,24.451,7.343,3.298,0.172,57,NA
1560,,814400,NA,54,1.46,3.107,0.434,0.13,0.002,NA,NA
1561,,814500,NA,145.5,2.12,14.231,3.371,1.332,0.048,NA,NA
1562,,815500,NA,122.5,1.95,10.719,2.272,0.846,0.026,58,NA
1563,,836800,NA,173,2.31,18.863,5.031,2.119,0.091,120,EAST GARFIELD PARK
1564,,837100,NA,306.5,3.23,43.25,17.648,9.395,0.812,NA,EAST GARFIELD PARK
1565,,837100,NA,195.5,2.47,22.893,6.664,2.943,0.146,135,EAST GARFIELD PARK
1566,,837800,NA,978,7.34,94.24,79.286,66.584,25.514,NA,NEAR WEST SIDE
1567,,838000,NA,386.5,3.76,56.152,27.291,16.061,1.882,127,NEAR WEST SIDE
1568,,837800,NA,687.5,5.66,84.66,60.375,45.032,11.281,NA,NEAR WEST SIDE
1569,,280400,NA,65.5,1.54,4.042,0.613,0.191,0.003,NA,NEAR WEST SIDE
1570,,839200,NA,61,1.51,3.659,0.538,0.165,0.003,NA,DOUGLAS
1571,,839200,NA,129.5,2,11.746,2.579,0.978,0.031,NA,DOUGLAS
1572,,839500,NA,53,1.45,3.033,0.421,0.125,0.002,NA,DOUGLAS
1573,,839600,NA,847.5,6.6,91.143,72.264,58.035,18.833,NA,DOUGLAS
1574,,380600,NA,302,3.2,42.462,17.132,9.063,0.768,NA,GRAND BOULEVARD
1575,,380600,NA,195.5,2.47,22.893,6.664,2.943,0.146,NA,GRAND BOULEVARD
1576,,835800,NA,322.5,3.34,46.007,19.513,10.619,0.98,NA,GRAND BOULEVARD
1577,,381200,NA,415,3.95,60.173,30.817,18.701,2.409,NA,GRAND BOULEVARD
1578,,381800,NA,575,4.97,77.216,49.485,34.428,6.842,NA,GRAND BOULEVARD
1579,,381800,NA,492,4.45,69.485,40.159,26.202,4.235,NA,GRAND BOULEVARD
1580,,381400,NA,139,2.07,13.2,3.034,1.179,0.04,NA,GRAND BOULEVARD
1581,,844600,NA,233,2.73,29.842,9.89,4.689,0.287,NA,GRAND BOULEVARD
1582,,380600,NA,208,2.56,25.189,7.673,3.474,0.185,NA,GRAND BOULEVARD
1583,,351400,NA,290,3.12,40.331,15.777,8.203,0.66,11,DOUGLAS
1584,,839200,NA,840.5,6.56,90.931,71.825,57.525,18.483,NA,DOUGLAS
1585,,390700,NA,188.5,2.42,21.622,6.131,2.669,0.127,NA,KENWOOD
1586,,410800,NA,204,2.53,24.451,7.343,3.298,0.172,NA,HYDE PARK
1587,,410700,NA,174,2.32,19.038,5.099,2.152,0.094,NA,HYDE PARK
1588,,410500,NA,66,1.54,4.086,0.622,0.194,0.004,NA,HYDE PARK
1589,,390500,NA,227,2.69,28.722,9.335,4.379,0.259,NA,KENWOOD
1590,,390400,NA,295.5,3.16,41.312,16.394,8.592,0.708,NA,KENWOOD
1591,,390200,NA,815.5,6.41,90.131,70.201,55.657,17.244,130,KENWOOD
1592,,390200,NA,281,3.06,38.71,14.784,7.583,0.586,NA,KENWOOD
1593,,836400,NA,48,1.41,2.677,0.358,0.104,0.002,NA,OAKLAND
1594,,836500,NA,381,3.73,55.34,26.611,15.564,1.789,NA,OAKLAND
1595,,836500,NA,76,1.62,5.022,0.816,0.264,0.005,NA,OAKLAND
1596,,520200,NA,191,2.44,22.074,6.319,2.765,0.134,120,EAST SIDE
1597,,520200,NA,292,3.13,40.689,16.001,8.343,0.677,NA,EAST SIDE
1598,,520200,NA,408,3.91,59.215,29.951,18.043,2.272,NA,EAST SIDE
1599,,520300,NA,105.5,1.83,8.395,1.626,0.577,0.015,52,EAST SIDE
1600,,520300,NA,416,3.96,60.308,30.941,18.796,2.429,NA,EAST SIDE
1601,,520300,NA,204.5,2.53,24.543,7.383,3.32,0.174,NA,EAST SIDE
1602,,520600,NA,230,2.71,29.282,9.611,4.533,0.273,10,EAST SIDE
1603,,550100,NA,214.5,2.6,26.394,8.224,3.77,0.209,27,HEGEWISCH
1604,,520500,NA,118,1.92,10.079,2.088,0.768,0.022,40,EAST SIDE
1605,,520500,NA,319,3.32,45.411,19.101,10.346,0.941,72,EAST SIDE
1606,,520500,NA,194.5,2.46,22.71,6.587,2.903,0.143,NA,EAST SIDE
1607,,520500,NA,265.5,2.95,35.879,13.124,6.572,0.473,74,EAST SIDE
1608,,520400,NA,848.5,6.61,91.172,72.326,58.108,18.883,NA,EAST SIDE
1609,,520400,NA,441,4.12,63.567,34.018,21.189,2.96,NA,EAST SIDE
1610,,520400,NA,390.5,3.79,56.736,27.785,16.425,1.951,NA,EAST SIDE
1611,,520200,NA,747,6.01,87.523,65.27,50.187,13.959,NA,EAST SIDE
1612,,510100,NA,285.5,3.09,39.523,15.278,7.89,0.622,NA,SOUTH DEERING
1613,,510100,NA,1132,8.18,96.452,85.241,74.503,33.435,110,SOUTH DEERING
1614,,510200,NA,77.5,1.63,5.171,0.849,0.276,0.006,74,SOUTH DEERING
1615,,510200,NA,623,5.27,80.764,54.394,39.067,8.622,NA,SOUTH DEERING
1616,,510200,NA,312,3.27,44.207,18.284,9.809,0.867,NA,SOUTH DEERING
1617,,510300,NA,76.5,1.62,5.071,0.827,0.268,0.005,77,SOUTH DEERING
1618,,510300,NA,415.5,3.95,60.241,30.879,18.748,2.419,NA,SOUTH DEERING
